Comprensión de Textos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C1;C2;C1;C2;C2;C1;C3;C3;C2;C2;C2;C3;C2;C3;;;;;;;C1;C2;C3;;C1;C2;C3;;;;;;;;
41;4;IE N° 5135 LA SALLE;1ro;2;2;56;53;46;37;48;34;20;25;34;28;15;38;27;11;26;34;21;0;0;0;0;0;;3;4;2;0;72%;55%;44%;0%;7;;;;;;
42;4;IE FE Y ALEGRIA N° 33;1ro;5;5;151;134;108;95;101;62;48;50;62;69;32;94;67;40;75;85;77;0;0;0;0;0;;3;4;2;0;61%;52%;47%;0%;15;;;;;;
43;4;IE MANUEL SEOANE C.;1ro;7;0;261;241;186;193;169;144;88;97;108;106;79;123;95;81;84;85;86;0;0;0;0;0;;3;3;1;0;65%;44%;36%;0%;13;;;;;;
44;5;"I.E. N° 4020 ""JOSÉ SANTOS CHOCANO""";1ro;2;2;69;64;61;64;57;54;15;41;45;26;10;40;27;14;29;34;41;0;0;0;0;0;;4;4;2;0;88%;51%;42%;0%;16;;;;;;
45;5;"I.E. N° 5051 ""VIRGEN DE FATIMA""";1ro;4;4;130;125;101;93;102;64;36;43;70;67;39;83;72;32;57;77;70;0;0;0;0;0;;3;4;2;0;66%;51%;47%;0%;15;;;;;;
46;5;"I.E. N° 5052 ""VIRGEN DE LA MERCED """;1ro;4;4;120;104;85;77;86;63;41;34;40;53;36;69;42;34;50;52;51;0;0;0;0;0;;3;3;2;0;63%;48%;45%;0%;15;;;;;;
47;5;"I.E. N° 5053 ""VÍCTOR ANDRÉS BELAÚNDE""";1ro;7;7;215;200;92;90;86;63;39;43;52;55;51;77;44;68;54;67;62;0;0;0;0;0;;1;2;1;0;38%;31%;28%;0%;9;;;;;;
48;5;I.E. N° 5096;1ro;3;3;103;94;91;85;85;59;48;43;67;54;46;68;59;45;46;57;53;0;0;0;0;0;;3;4;2;0;80%;62%;51%;0%;18;;;;;;
49;5;I.E. N° 5137;1ro;2;2;50;65;42;34;28;13;13;10;11;18;8;25;12;24;24;11;9;0;0;0;0;0;;1;2;1;0;29%;21%;17%;0%;6;;;;;;
50;5;I.E. NUESTRA SEÑORA DE BELÉN;1ro;3;3;83;80;56;43;30;27;15;29;18;30;20;26;19;23;19;25;13;0;0;0;0;0;;2;2;1;0;45%;30%;26%;0%;9;;;;;;
51;5;I.E. FE Y ALEGRÍA 29;1ro;3;3;94;82;65;71;68;49;25;30;49;46;45;59;45;44;50;51;34;0;0;0;0;0;;3;4;2;0;72%;56%;54%;0%;17;;;;;;
52;6;I.E. Nº 4021;1ro;3;3;104;89;70;67;71;57;33;45;34;39;32;38;38;28;42;33;25;0;0;0;0;0;;3;3;2;0;65%;46%;38%;0%;14;;;;;;
53;6;"I.E. Nº 5090 ""ANTONIA MORENO DE CACERES""";1ro;2;2;58;59;40;40;35;30;11;13;19;29;5;28;25;15;21;24;33;0;0;0;0;0;;3;3;2;0;55%;37%;38%;0%;12;;;;;;
54;6;"I.E. Nº 5093 ""ANTONIO RAYMONDI""";1ro;4;4;124;134;47;34;25;38;26;36;33;32;30;37;15;30;42;21;31;0;0;0;0;0;;1;1;1;0;28%;13%;25%;0%;7;;;;;;
55;7;"I.E N° 5088 ""HÉROES DELPACÍFICO""";1ro;4;4;129;108;97;102;98;62;40;43;51;58;41;71;62;48;66;45;51;0;0;0;0;0;;3;4;2;0;72%;54%;50%;0%;16;;;;;;
56;7;"I.E. LICEO NAVAL C. DE C. ""MANUEL CLAVERO MUGA""";1ro;3;3;64;60;56;57;47;35;28;33;36;33;28;49;36;23;50;46;45;0;0;0;0;0;;3;4;3;0;75%;61%;63%;0%;19;;;;;;
57;7;IE 5091 HIJOS DE GRAU;1ro;2;2;64;63;41;48;52;36;36;25;32;35;31;44;35;26;20;39;37;0;0;0;0;0;;3;4;2;0;64%;60%;49%;0%;17;;;;;;
58;7;IE N 5086 POLITECNICO DE VENTANILLA;1ro;4;4;150;148;97;90;88;73;38;52;58;72;35;80;66;35;62;68;62;0;0;0;0;0;;3;4;2;0;74%;57%;54%;0%;17;;;;;;
59;7;IE N° 5130-1;1ro;3;3;96;84;80;77;75;53;23;41;44;48;37;54;51;25;42;48;35;0;0;0;0;0;;3;4;2;0;76%;54%;48%;0%;16;;;;;;
60;7;IE. N° 5130-3 VRHT;1ro;2;1;55;68;38;32;46;26;20;29;31;33;30;34;21;19;19;31;25;0;0;0;0;0;;1;2;2;0;32%;35%;39%;0%;11;;;;;;
61;7;IE.5118 CMDTE JUAN VALER SANDOVAL;1ro;4;4;123;111;107;107;108;67;35;39;50;58;23;68;51;59;59;63;61;0;0;0;0;0;;3;4;2;0;74%;54%;43%;0%;16;;;;;;
62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACIERTOS POR ITEM;;;;61;0;5508;5246;4,060;3,950;3,814;2,773;1,781;2,112;2,386;2,535;1,599;3,066;2,236;1,890;2,427;2,508;2,227;0;0;0;0;0;;3;3;2;0;63%;47%;42%;0%;14;;;;;;
PORCENTAJES POR ITEMS;;;;;;;;77%;75%;73%;53%;34%;40%;45%;48%;30%;58%;43%;36%;46%;48%;42%;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°;RED;INSTITUCION_EDUCATIVA;GRADO;SECCION;TURNO;NRO_DE_ESTUDIANTES_MATRICULADOS;NRO_DE_ESTUDIANTES_EVALUADOS;P 1;P 2;P 3;P 4;P 5;P 6;P 7;P 8;P 9;P 10;P 11;P 12;P 13;P 14;P 15;P 16;P 17;P 18;P 19;P 20;;CAPACIDADES;;;;%_POR_CAPACIDAD;;;;PROMEDIO_X_SECCION;;;;;;
;;;;;;;;C1;C4;C1;C1;C2;C2;C3;C2;C3;C4;;;;;;;;;;;;C1;C2;C3;C4;C1;C2;C3;C4;;;;;;;
1;1;"I.E. Nº 5116 ""DIVINO CREADOR""";1ro;2;2;48;44;13;8;5;12;6;5;11;2;11;15;0;0;0;0;0;0;0;0;0;0;;1;1;1;1;28%;12%;29%;29%;5;;;;;;
